Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
3,Albania,2501,Population,511,Total Population - Both sexes,1000 No,2913.4,2900.65,2892.19,2887.01,2884.1,2882.48,2881.06,2879.36,2877.01,2873.88,2866.85,2854.71
3,Albania,2501,Population,5301,Domestic supply quantity,1000 t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Albania,2901,Grand Total,664,Food supply (kcal/capita/day),kcal/cap/d,3256.0,3296.0,3346.0,3342.0,3317.0,3330.0,3365.0,3377.0,3352.0,3375.0,3349.0,3399.0
3,Albania,2901,Grand Total,661,Food supply (kcal),million Kcal,3462488.58,3490045.25,3532407.27,3522042.97,3492255.06,3503555.28,3538562.51,3549609.4,3520217.36,3540015.97,3504835.84,3541544.33
3,Albania,2901,Grand Total,674,Protein supply quantity (g/capita/day),g/cap/d,109.05,111.43,112.35,113.42,112.03,113.93,116.42,117.09,115.28,118.4,115.28,120.13
3,Albania,2901,Grand Total,671,Protein supply quantity (t),t,115967.8,117979.1,118600.8,119515.6,117938.6,119863.07,122428.55,123054.16,121054.39,124193.94,120630.95,125175.69
3,Albania,2901,Grand Total,684,Fat supply quantity (g/capita/day),g/cap/d,105.06,105.06,108.56,108.23,111.73,112.45,116.5,118.87,117.14,115.16,111.89,114.45
3,Albania,2901,Grand Total,681,Fat supply quantity (t),t,111721.77,111229.27,114605.47,114048.27,117618.21,118306.26,122511.41,124932.43,123010.85,120800.37,117082.2,119250.35
3,Albania,2905,Cereals - Excluding Beer,5511,Production,1000 t,694.0,701.0,697.0,703.0,700.0,695.0,698.0,702.0,678.0,666.0,684.0,691.0
3,Albania,2905,Cereals - Excluding Beer,5611,Import Quantity,1000 t,613.0,639.0,596.0,638.0,596.0,613.0,660.0,530.0,575.0,628.0,606.0,571.0
3,Albania,2905,Cereals - Excluding Beer,5072,Stock Variation,1000 t,7.0,26.0,41.0,52.0,25.0,1.0,14.0,-13.0,-24.0,-5.0,1.0,1.0
3,Albania,2905,Cereals - Excluding Beer,5911,Export Quantity,1000 t,1.0,5.0,6.0,9.0,2.0,11.0,11.0,2.0,4.0,9.0,6.0,9.0
3,Albania,2905,Cereals - Excluding Beer,5301,Domestic supply quantity,1000 t,1299.0,1308.0,1246.0,1280.0,1269.0,1296.0,1334.0,1242.0,1273.0,1289.0,1283.0,1252.0
3,Albania,2905,Cereals - Excluding Beer,5521,Feed,1000 t,330.0,331.0,297.0,340.0,545.0,589.0,648.0,556.0,616.0,622.0,610.0,623.0
3,Albania,2905,Cereals - Excluding Beer,5527,Seed,1000 t,21.0,22.0,24.0,24.0,23.0,24.0,24.0,24.0,22.0,16.0,15.0,16.0
3,Albania,2905,Cereals - Excluding Beer,5123,Losses,1000 t,78.0,80.0,77.0,77.0,77.0,76.0,76.0,76.0,74.0,78.0,79.0,76.0
3,Albania,2905,Cereals - Excluding Beer,5131,Processing,1000 t,8.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0
3,Albania,2905,Cereals - Excluding Beer,5154,Other uses (non-food),1000 t,385.0,373.0,353.0,349.0,138.0,136.0,123.0,126.0,104.0,120.0,130.0,104.0
3,Albania,2905,Cereals - Excluding Beer,5170,Residuals,1000 t,1.0,1.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Albania,2905,Cereals - Excluding Beer,5142,Food,1000 t,477.0,491.0,476.0,477.0,475.0,459.0,451.0,448.0,446.0,441.0,438.0,421.0
3,Albania,2905,Cereals - Excluding Beer,645,Food supply quantity (kg/capita/yr),kg,163.78,169.19,164.73,165.35,164.65,159.38,156.4,155.44,154.95,153.56,152.85,147.33
3,Albania,2905,Cereals - Excluding Beer,664,Food supply (kcal/capita/day),kcal/cap/d,1138.0,1148.0,1146.0,1149.0,1142.0,1108.0,1080.0,1064.0,1062.0,1039.0,1035.0,985.0
3,Albania,2905,Cereals - Excluding Beer,661,Food supply (kcal),million Kcal,1209781.63,1215812.61,1209670.14,1210421.26,1201729.97,1165771.81,1135281.24,1118395.31,1115544.21,1089959.41,1082943.6,1026440.82
3,Albania,2905,Cereals - Excluding Beer,674,Protein supply quantity (g/capita/day),g/cap/d,34.33,34.5,34.78,34.72,34.54,33.58,32.61,31.97,32.02,31.2,31.33,29.31
3,Albania,2905,Cereals - Excluding Beer,671,Protein supply quantity (t),t,36506.0,36528.61,36712.0,36588.2,36362.83,35333.9,34290.1,33599.78,33626.95,32727.17,32779.9,30543.09
3,Albania,2905,Cereals - Excluding Beer,684,Fat supply quantity (g/capita/day),g/cap/d,6.87,7.15,6.72,6.82,6.71,6.35,6.42,6.63,6.27,6.48,6.34,6.83
3,Albania,2905,Cereals - Excluding Beer,681,Fat supply quantity (t),t,7304.94,7573.4,7092.2,7182.33,7063.37,6680.2,6746.13,6970.16,6585.52,6800.29,6636.94,7118.15
3,Albania,2907,Starchy Roots,5511,Production,1000 t,208.0,230.0,233.0,237.0,240.0,245.0,238.0,250.0,255.0,261.0,255.0,259.0
3,Albania,2907,Starchy Roots,5611,Import Quantity,1000 t,36.0,24.0,23.0,27.0,20.0,20.0,24.0,17.0,16.0,19.0,13.0,25.0
3,Albania,2907,Starchy Roots,5072,Stock Variation,1000 t,5.0,-1.0,-4.0,0.0,-1.0,0.0,1.0,-1.0,0.0,-8.0,0.0,0.0
3,Albania,2907,Starchy Roots,5911,Export Quantity,1000 t,0.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0
3,Albania,2907,Starchy Roots,5301,Domestic supply quantity,1000 t,238.0,253.0,256.0,262.0,260.0,264.0,261.0,268.0,269.0,288.0,266.0,283.0
3,Albania,2907,Starchy Roots,5521,Feed,1000 t,65.0,71.0,72.0,79.0,76.0,78.0,79.0,82.0,83.0,98.0,80.0,89.0
3,Albania,2907,Starchy Roots,5527,Seed,1000 t,25.0,28.0,28.0,28.0,29.0,29.0,29.0,30.0,31.0,31.0,31.0,31.0
3,Albania,2907,Starchy Roots,5123,Losses,1000 t,16.0,17.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0
3,Albania,2907,Starchy Roots,5131,Processing,1000 t,,,,,0.0,0.0,,,,,,
3,Albania,2907,Starchy Roots,5154,Other uses (non-food),1000 t,3.0,3.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0
3,Albania,2907,Starchy Roots,5170,Residuals,1000 t,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Albania,2907,Starchy Roots,5142,Food,1000 t,130.0,134.0,135.0,127.0,136.0,138.0,135.0,136.0,137.0,139.0,135.0,142.0
3,Albania,2907,Starchy Roots,645,Food supply quantity (kg/capita/yr),kg,44.63,46.33,46.67,43.92,47.23,47.9,46.89,47.14,47.56,48.32,47.06,49.68
3,Albania,2907,Starchy Roots,664,Food supply (kcal/capita/day),kcal/cap/d,82.0,84.0,84.0,77.0,83.0,84.0,82.0,83.0,84.0,84.0,83.0,87.0
3,Albania,2907,Starchy Roots,661,Food supply (kcal),million Kcal,87350.64,88579.35,88338.87,81101.58,87187.04,88335.07,86401.88,87127.97,87802.3,88570.01,86377.51,90239.69
3,Albania,2907,Starchy Roots,674,Protein supply quantity (g/capita/day),g/cap/d,1.84,1.94,1.96,1.87,2.01,2.04,1.99,2.01,2.03,2.05,2.0,2.1
3,Albania,2907,Starchy Roots,671,Protein supply quantity (t),t,1954.48,2050.32,2068.15,1969.15,2117.51,2144.96,2097.85,2116.86,2133.7,2147.36,2095.72,2185.11
3,Albania,2907,Starchy Roots,684,Fat supply quantity (g/capita/day),g/cap/d,0.16,0.15,0.15,0.13,0.14,0.14,0.14,0.12,0.13,0.16,0.14,0.17
3,Albania,2907,Starchy Roots,681,Fat supply quantity (t),t,166.08,157.27,154.79,138.09,144.43,148.63,146.75,131.3,134.35,164.99,145.15,181.04
3,Albania,2908,Sugar Crops,5511,Production,1000 t,40.0,40.0,40.0,40.0,37.0,35.0,33.0,32.0,27.0,31.0,27.0,24.0
3,Albania,2908,Sugar Crops,5611,Import Quantity,1000 t,,,,,,,,0.0,,,,
3,Albania,2908,Sugar Crops,5072,Stock Variation,1000 t,-2.0,-2.0,-2.0,-2.0,-5.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0
3,Albania,2908,Sugar Crops,5911,Export Quantity,1000 t,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,
3,Albania,2908,Sugar Crops,5301,Domestic supply quantity,1000 t,42.0,42.0,42.0,42.0,42.0,35.0,33.0,32.0,30.0,31.0,27.0,24.0
3,Albania,2908,Sugar Crops,5521,Feed,1000 t,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3,Albania,2908,Sugar Crops,5123,Losses,1000 t,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
3,Albania,2908,Sugar Crops,5131,Processing,1000 t,39.0,39.0,39.0,39.0,39.0,32.0,31.0,29.0,28.0,29.0,26.0,23.0
3,Albania,2908,Sugar Crops,5170,Residuals,1000 t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Albania,2909,Sugar & Sweeteners,5511,Production,1000 t,10.0,10.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0
3,Albania,2909,Sugar & Sweeteners,5611,Import Quantity,1000 t,94.0,104.0,117.0,115.0,80.0,112.0,116.0,75.0,77.0,148.0,116.0,146.0
3,Albania,2909,Sugar & Sweeteners,5072,Stock Variation,1000 t,-11.0,0.0,5.0,6.0,-1.0,18.0,18.0,-25.0,-22.0,32.0,4.0,11.0
3,Albania,2909,Sugar & Sweeteners,5911,Export Quantity,1000 t,0.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0
3,Albania,2909,Sugar & Sweeteners,5301,Domestic supply quantity,1000 t,114.0,114.0,120.0,118.0,90.0,101.0,106.0,105.0,107.0,123.0,120.0,140.0
3,Albania,2909,Sugar & Sweeteners,5521,Feed,1000 t,5.0,5.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,Albania,2909,Sugar & Sweeteners,5123,Losses,1000 t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Albania,2909,Sugar & Sweeteners,5131,Processing,1000 t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Albania,2909,Sugar & Sweeteners,5154,Other uses (non-food),1000 t,,,,,0.0,0.0,0.0,0.0,0.0,,,
3,Albania,2909,Sugar & Sweeteners,5170,Residuals,1000 t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Albania,2909,Sugar & Sweeteners,5142,Food,1000 t,109.0,108.0,115.0,115.0,88.0,99.0,104.0,104.0,106.0,121.0,119.0,138.0
3,Albania,2909,Sugar & Sweeteners,645,Food supply quantity (kg/capita/yr),kg,37.44,37.33,39.88,39.78,30.49,34.5,36.13,36.01,36.7,42.25,41.37,48.48
3,Albania,2909,Sugar & Sweeteners,664,Food supply (kcal/capita/day),kcal/cap/d,255.0,244.0,258.0,254.0,190.0,197.0,196.0,196.0,198.0,213.0,228.0,246.0
3,Albania,2909,Sugar & Sweeteners,661,Food supply (kcal),million Kcal,270893.91,258049.2,272749.7,267726.3,200427.58,206993.84,206059.33,205870.08,207897.5,222910.93,238588.11,256843.17
3,Albania,2909,Sugar & Sweeteners,674,Protein supply quantity (g/capita/day),g/cap/d,0.07,0.08,0.07,0.06,0.07,0.06,0.06,0.07,0.06,0.08,0.07,0.1
3,Albania,2909,Sugar & Sweeteners,671,Protein supply quantity (t),t,73.37,82.29,70.19,66.04,69.58,68.26,65.4,72.46,67.91,82.36,72.41,102.35
